Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Add a variable to access within testcase,AddVar,Claims_RuntimeData:API,%API%,
2,Browser,Add a variable to access within testcase,AddVar,Claims_RuntimeData:SenderName,%Sender%,
3,Browser,Read the UserName and Password from user-defined values,PSIC_ReadAPI,Claims_RuntimeData:API,"%API% ,%Sender%",
4,Browser,Get ID from API Response,GetTaskID,Claims_RuntimeData:TaskID,%TaskID%,
5,Browser,store variable value [<Condition>] in data sheet[<Data>],storeVariableInDataSheet,Claims_RuntimeData:TaskID,%TaskID%,
